epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.142,0.65993,1.90206,0.92132,1,0.33992,0.50224,0.46615,0.62874,3.13727,0.86868,0.000542437,0.000542437,0.000542437
2,19.7886,0.61946,1.14683,0.87701,0.99018,0.52305,0.96621,0.75625,0.63674,1.77984,0.8807,0.000989391,0.000989391,0.000989391
3,29.408,0.57479,0.98906,0.85067,0.98141,0.99162,0.995,0.83961,0.51286,1.06536,0.85036,0.00132632,0.00132632,0.00132632
4,39.0207,0.55032,0.88755,0.8313,0.99488,1,0.995,0.84944,0.47406,0.8834,0.84152,0.0011719,0.0011719,0.0011719
5,48.6493,0.49748,0.79487,0.83044,0.99468,1,0.995,0.87228,0.44143,0.73098,0.83221,0.00100687,0.00100687,0.00100687
6,58.279,0.4584,0.72531,0.81788,0.99592,1,0.995,0.87547,0.42865,0.65555,0.828,0.000841835,0.000841835,0.000841835
7,67.9256,0.42464,0.65824,0.82476,0.9967,1,0.995,0.8897,0.44192,0.64703,0.82208,0.000676802,0.000676802,0.000676802
8,77.5999,0.4125,0.61939,0.81314,0.99649,1,0.995,0.88962,0.39999,0.5983,0.8131,0.000511769,0.000511769,0.000511769
9,87.3112,0.37255,0.57649,0.79813,0.99664,1,0.995,0.89544,0.3635,0.57364,0.80988,0.000346736,0.000346736,0.000346736
10,97.0361,0.35164,0.55503,0.80303,0.99667,1,0.995,0.88917,0.37738,0.54605,0.80666,0.000181703,0.000181703,0.000181703
